Название вакансии,URL,Название компании,Описание,цна
Тестировщик ПО (Middle),https://hh.ru/vacancy/35349722?query=python,ООО Строительный Двор,"Разработка, использование и поддержка автоматизированных сценариев тестирования. Тесное взаимодействие с коллегами по отделу QA, разработчиками, аналитиками и другими участниками процесса...Понимание принципов работы web приложений. Владение Javascript и одним из языков Python или Java. Знание Puppeteer, Selenium или аналогичных инструментов. ",40 000-80 000 руб.
Программист-разработчик,https://hh.ru/vacancy/35521692?query=python, LAN,"You are more than proficient in Java/Scala/Python and hands-on JavaScript, ReactJS, HTML, CSS experiences is a plus. ",1 500-3 000 USD
Помощник руководителя со знанием Excel и программирования (удаленно),https://hh.ru/vacancy/35094011?query=python,ООО Рулонг,"Работа с Excel, гугл таблицами и базами данных. Администрирование корпоративной сети. Консультирование пользователей по вопросам настройки программ и пользования компьютером. Знания и умения работы в Excel и гугл таблицах. Знания языка программирования JavaScript, PHP, Python, Html. Умение работать со средствами...",от 5 000 руб.
Сетевой администратор/Сетевой инженер,https://hh.ru/vacancy/35570607?query=python,ООО Виртуальные инфраструктуры,"сопровождение сетевой инфраструктуры. - участие в развитии инфраструктуры. - участие в проектах в качестве сетевого администратора. - техническая поддержка клиентов (2-3 линия). Линукс. - навыки программирования/написания скриптов (sh, awk, python). Общие навыки: - опыт работы в виртуальной среде. - английский язык: чтение документации, техническая...",от 55 000 руб.
Team‌ ‌Lead‌,https://hh.ru/vacancy/35569432?query=python, EFSOL,Разработка систем для роботизации бизнеса для международного рынка.От 5 лет опыта работы с одной из технологий: .NET (C#);/C++/Python/Go. Знание основ машинного обучения. ,от 150 000 руб.
DevOps engineer (Remote),https://hh.ru/vacancy/35096084?query=python,ООО ClearScale,"ClearScale LLC (штаб-квартира: Сан-Франциско, Калифорния, США) - AWS Premier Consulting Partner, уже более 10 лет предлагает полный спектр профессиональных...Databases: various SQL и NoSQL hands on experience. -- Scripting: bash, python as an advantage. -- CI/CD: Jenkins, TeamCity as an...",от 180 000 руб.
Data Analyst,https://hh.ru/vacancy/32972969?query=python, Skyeng,"...продуктовых и бизнес-метрик. Работы с системами событийной аналитики. Проведения AB-тестов и статистической обработки их результатов. Программирования на Python.Разобраться в предметной области, изучить терминологию и понять, как всё устроено. Расставлять приоритеты и управлять своим временем. Здорово, если у...",до 120 000 руб.
Технический дизайнер уровней (Houdini Generalists),https://hh.ru/vacancy/35542314?query=python, CarX Technologies,"Прототипирование больших городских участков: дороги + обочина + террейн + окружение. Алгоритмическое построение объектов сцены с использование скриптов. Понимание принципов и целей оптимизации геометрии, опыт в создании объектов по референсам. Навыки программирования или написания сценариев (Hscript или python). ",от 130 000 руб.
IT-директор (СТО),https://hh.ru/vacancy/35465361?query=python,ООО Гибрид,"Сбор, анализ и систематизация требований от заказчика. Постановка задач разработчикам IT-департамента на “понятном языке”. Управление ходом реализации проекта: сроками...Готовы переехать к нам (рассмотрим релокацию). C#. Web API. PostgreSQL. Python. ASP.NET. ООП. JS. HTML5. Git. И т.д.",100 000-150 000 руб.
Senior Product analyst,https://hh.ru/vacancy/30620249?query=python, Skyeng,"проектировать и проводить эксперименты в digital-продуктах и операционных процессах. — анализировать данные, находить инсайты и давать рекомендации по развитию продукта...Будет большим плюсом.",от 110 000 руб.
Senior Product analyst,https://hh.ru/vacancy/30620277?query=python, Skyeng,"проектировать и проводить эксперименты в digital-продуктах и операционных процессах. — анализировать данные, находить инсайты и давать рекомендации по развитию продукта...Будет большим плюсом.",от 110 000 руб.
Senior Product analyst,https://hh.ru/vacancy/35511605?query=python, Skyeng,"проектировать и проводить эксперименты в digital-продуктах и операционных процессах. — анализировать данные, находить инсайты и давать рекомендации по развитию продукта...Будет большим плюсом.",от 110 000 руб.
Технический дизайнер уровней(Houdini Generalists),https://hh.ru/vacancy/35495528?query=python, CarX Technologies,"Прототипирование больших городских участков: дороги + обочина + террейн + окружение. Алгоритмическое построение объектов сцены с использование скриптов. Понимание принципов и целей оптимизации геометрии, опыт в создании объектов по референсам. Навыки программирования или написания сценариев (Hscript или python). ",от 110 000 руб.
Специалист технической поддержки хостинга,https://hh.ru/vacancy/35533695?query=python,ООО Серверные Технологии,"Поддержка и мониторинг обслуживаемых компанией серверов (работа в команде, более 500 серверов). Взаимодействие с клиентами, работа с тикетами. Более 3 лет опыта администрирования *nix (преимущественно CentOS и Ubuntu). Опыт администрирования Windows Server приветствуется. Опыт администрирование основных сервисов (FTP...",от 40 000 руб.
Специалист технической поддержки хостинга,https://hh.ru/vacancy/35533696?query=python,ООО Серверные Технологии,"Поддержка и мониторинг обслуживаемых компанией серверов (работа в команде, более 500 серверов). Взаимодействие с клиентами, работа с тикетами. Более 3 лет опыта администрирования *nix (преимущественно CentOS и Ubuntu). Опыт администрирования Windows Server приветствуется. Опыт администрирование основных сервисов (FTP...",от 40 000 руб.
Специалист технической поддержки хостинга,https://hh.ru/vacancy/35533697?query=python,ООО Серверные Технологии,"Поддержка и мониторинг обслуживаемых компанией серверов (работа в команде, более 500 серверов). Взаимодействие с клиентами, работа с тикетами. Более 3 лет опыта администрирования *nix (преимущественно CentOS и Ubuntu). Опыт администрирования Windows Server приветствуется. Опыт администрирование основных сервисов (FTP...",от 40 000 руб.
Автор работ по программированию (Python),https://hh.ru/vacancy/35042478?query=python, Homework,"Высшее образование (наличие ученой степени или звания - желательно). Опыт написания работ, или опыт преподавания в учебных заведениях будет Вашим преимуществом. ",до 90 000 руб.
Ruby on Rails developer,https://hh.ru/vacancy/35147955?query=python, evrone.ru,"Не представлять себе разработку без тестов. Возможности посещения и участия в мероприятиях.Знания, опыт коммерческой и командной разработки на Ruby/RoR. Знания, опыт использования баз данных (не только через ORM). ",80 000-220 000 руб.
Software Documentation Developer,https://hh.ru/vacancy/32618729?query=python, documentat.io,"User manuals for desktop applications and web-based solutions. Deployment/installation instructions for Linux-based server applications. Apart from that...Experience with at least two of the following languages: Python, JavaScript, PHP, Java. Excellent written Russian: no spelling mistakes, capability...",80 000-120 000 руб.
DevOps Engineer,https://hh.ru/vacancy/35458586?query=python,ООО ЦИФРА,Оценка и улучшение процесса развёртывания. Изменение существующих скриптов для развёртывания. Поддержание стабильного качества продуктов и непрерывности процесса поставки. Опыт работы в области системного инжиниринга и администрирования. Глубокое знание Linux систем. Опыт написания скриптов на Bash / Python. ,2 000-4 000 USD
Web-программист,https://hh.ru/vacancy/35486204?query=python, Делегатор 24,"Создание сайтов и интернет-магазинов на CMS Wordpress, Joomla, Opencart, 1C Битрикс, NetCat. Редактирование контента в CMS системах. Знание и понимание HTML, CSS, PHP, XML, SQL, JS/JQuery (опционально Python/NodeJS). Опыт интеграций сервисов, web api. ",30 000-50 000 руб.
FullStack-разработчик (Django/React),https://hh.ru/vacancy/35438056?query=python, Yael Consulting,"Фронтенд: React, MobX-State-Tree, Material-UI. - Разворачивание dev и prod сред с помощью Docker. - CI/CD с помощью GitLab. Уверенное знание английского языка. Все сотрудники общаются только на английском. - Отвественность. Работа полностью удалённая, сотрудники в разных часовых поясах (Восточная...",100 000-150 000 руб.
"Программист Python, API-интеграции (разработка сервисов и веб-приложений)",https://hh.ru/vacancy/35423756?query=python,ООО ИнфоКом,"В основном бекенд, интеграция разных сервисов между собой и с Битрикс24. Создание отраслевых решений и приложений для Битрикс24. ",до 40 000 руб.
Web-разработчик (frontend),https://hh.ru/vacancy/35456784?query=python,ООО Смартер,"Модуль дозвона. Выдаёт операторам звонки так, чтобы базы хватило на всех, и никто не сидел без дела. — Модуль сценариев. Опыт работы по frontend от 3 лет. Опыт разработки Vue.js. ES6+, HTML, CSS, SCSS. Опыт разработки SPA. ",до 90 000 руб.
Преподаватель по программированию,https://hh.ru/vacancy/34573316?query=python, IT школа Hello world,"Готовность осваивать новое и неведомое, стремление к развитию. Знание HTML, CSS, JavaScript, Python или аналогичных языков. Приветствуется: Опыт работы преподавателем. ",25 000-45 000 руб.
"Senior Full-Stack Developer (PHP, JS, Laravel)",https://hh.ru/vacancy/35469910?query=python, AdIntelligence Limited,"Design architectures for HTTP APIs and services. Write unit and functional tests to ensure the quality of our software. You have experience with other backend languages: Go, Node.JS, Python, Ruby, etc. Knowledge of relational databases (MySQL, PostgreSQL). ",от 3 000 USD
Java-разработчик,https://hh.ru/vacancy/35438131?query=python,ИП Шпак Виктория Сергеевна,"Проекты связаны с разработкой программных продуктов для цифрового сельского хозяйства. - проектирование и разработка новых, а также доработка старых приложений (80...Будет плюсом: - опыт применения Thymleaf и Bootstrap. - умение читать код на Python 2/3. - критическое отношение к своему коду. - ",120 000-150 000 руб.
DevOps Engineer,https://hh.ru/vacancy/35418177?query=python, Helastel,"Вам предстоит целиком развернуть high-load инфраструктуру проекта, используя Kubernetes (Docker) и GitLab для стабильной работы в режимах разработки и...Знание configuration management systems (Ansible). Умение писать на скриптовых языках (Python, Bash, +yaml). Опыт работы с оборудованием firewall (iptables, ipchains...",от 200 000 руб.
DevOps,https://hh.ru/vacancy/35407438?query=python, Университет Иннополис,"Поддержка и участие в процессе разработки в кросс-функциональной команде. Участие в выборе компонентов для построения требуемой функциональности. Опыт построения CI, CD процессов. Глубокое понимание Docker, Kubernetes, PowerShell, Bash,Python, conan/rpm/deb. Знание Git. Знакомство с S...",80 000-120 000 руб.
L1 operations engineer,https://hh.ru/vacancy/35422414?query=python, LifeStreet Corporation,"Знание работы веб-серверов (Apache, ngnix, Tomcat). Опыт программирования (bash, perl, python, etc.). Знание DNS. Технический английский. Желательно: Высшее образование...",40 000-55 000 руб.
